product_type,primary,secondary,cta,background,text,border
SaaS (General),#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0
SaaS (Dark),#6366F1,#818CF8,#F59E0B,#0F172A,#F1F5F9,#1E293B
E-commerce (Fashion),#059669,#10B981,#F97316,#ECFDF5,#064E3B,#A7F3D0
E-commerce (General),#1D4ED8,#3B82F6,#EF4444,#FFFFFF,#111827,#E5E7EB
Fintech/Crypto,#6366F1,#818CF8,#F59E0B,#0F172A,#F8FAFC,#334155
Healthcare App,#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,#A5F3FC
Restaurant/Food,#DC2626,#F87171,#F59E0B,#FEF2F2,#7F1D1D,#FECACA
Luxury/Premium,#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1
Education/EdTech,#7C3AED,#A78BFA,#F59E0B,#F5F3FF,#3B0764,#DDD6FE
Real Estate,#0F766E,#14B8A6,#F97316,#F0FDFA,#134E4A,#99F6E4
Legal/Law Firm,#1E3A5F,#2563EB,#B45309,#F8FAFC,#0F172A,#CBD5E1
Travel/Hospitality,#0369A1,#0EA5E9,#F97316,#F0F9FF,#0C4A6E,#BAE6FD
Fitness/Wellness,#16A34A,#22C55E,#EF4444,#F0FDF4,#14532D,#BBF7D0
Agency/Creative,#BE185D,#EC4899,#6366F1,#FFF1F2,#500724,#FBCFE8
Developer Tools,#1E293B,#334155,#6366F1,#0F172A,#F8FAFC,#475569
Nonprofit/Charity,#0369A1,#38BDF8,#16A34A,#F0F9FF,#0C4A6E,#BAE6FD
Gaming,#7C3AED,#A855F7,#EF4444,#09090B,#FAFAFA,#27272A
News/Media,#DC2626,#EF4444,#1D4ED8,#FFFFFF,#111827,#D1D5DB
Consulting/B2B,#1E40AF,#2563EB,#D97706,#F8FAFC,#1E293B,#DBEAFE
Photography/Portfolio,#18181B,#27272A,#FBBF24,#09090B,#FAFAFA,#3F3F46
Startup/MVP,#0EA5E9,#38BDF8,#F97316,#F0F9FF,#0C4A6E,#BAE6FD
Mental Health,#7C3AED,#A78BFA,#059669,#FAF5FF,#3B0764,#E9D5FF
Automotive,#1E293B,#475569,#EF4444,#0F172A,#F8FAFC,#334155
Beauty/Cosmetics,#BE185D,#F472B6,#F59E0B,#FDF2F8,#500724,#FBCFE8
Kids/Family,#F59E0B,#FCD34D,#EF4444,#FFFBEB,#78350F,#FDE68A
