name,description,implementation,use_cases,do_examples,dont_examples
Glassmorphism,Frosted glass effect with blur and transparency,backdrop-filter: blur(12px); background: rgba(255 255 255 / 0.1); border: 1px solid rgba(255 255 255 / 0.2),SaaS dark dashboards fintech crypto apps,Cards on dark gradient backgrounds subtle blur depth,Glassmorphism on white backgrounds loses all effect
Neumorphism,Soft extruded UI elements from background,box-shadow: 8px 8px 16px #d1d9e6 -8px -8px 16px #ffffff; border-radius: 12px,Wellness apps minimal dashboards settings UIs,Monochromatic light backgrounds subtle depth,High contrast colors dark backgrounds complex content
Flat Design,No depth or shadow pure color and shape,No box-shadow no gradients solid fills geometric shapes,Apps requiring fast loading minimal distraction,Clean icon sets clear hierarchy consistent color system,Adding slight shadows defeats the purpose
Material Design,Google's shadow and depth system with motion,box-shadow layered by elevation transition on state change,Android apps cross-platform dashboards productivity,Consistent 8px grid elevation system ripple effects,Overdoing shadows makes UI feel heavy and dated
Brutalism,Raw unpolished intentionally bold design,Heavy borders hard shadows strong typography serif fonts,Creative portfolios fashion brands that want to stand out,Black borders 4px+ solid color backgrounds offset shadows,Brutalism applied to healthcare or finance loses trust
Minimalism,Maximum whitespace minimum elements,Large whitespace margin padding generous spacing,Luxury brands portfolios premium SaaS editorial sites,One CTA per screen generous line-height focused hierarchy,Minimalism ≠ boring — still needs strong typography
Dark Mode,Dark backgrounds for low-light comfortable use,background: #0F172A or #09090B color: #F8FAFC use CSS variables,Dev tools crypto gaming fintech productivity apps,True dark not gray background proper contrast ratios,Dark gray text on dark gray background fails WCAG
Gradient Mesh,Complex organic gradient backgrounds,CSS mesh-gradient or SVG blob shapes multiple color stops,Startups SaaS landing pages creative agencies,Subtle color shifts complementary palette smooth blending,Loud clashing gradients text over busy gradient areas
Bento Grid,Modular card grid inspired by Japanese bento boxes,CSS grid with varied column spans asymmetric layout,SaaS feature showcases product landing pages portfolios,Mix card sizes use whitespace as a design element,Making all cards same size loses the visual rhythm
Editorial,Newspaper-inspired typography-led layout,Strong typographic hierarchy pull quotes varied column widths,Media news blogs newsletters high-content sites,Mix type sizes use pull quotes break grid intentionally,Editorial style with weak typography misses the point
Skeuomorphism,Design mimicking real-world physical objects,Textures gradients shadows that mimic leather paper metal,Niche apps where physicality adds value retro branding,Use sparingly for specific interactive elements only,Full-screen skeuomorphism feels dated post-iOS 7
Aurora/Glow,Soft glowing backgrounds and accents,Radial gradients with low opacity animated blur layers,Crypto AI tools gaming dark-mode landing pages,Soft color transitions match glow color to brand palette,Glows so bright they make text unreadable
