name,category,heading_font,body_font,mood,best_for,google_fonts_url
Classic Elegant,Serif + Sans,Playfair Display,Inter,luxury elegant refined,luxury fashion spa editorial,https://fonts.google.com/share?selection.family=Playfair+Display|Inter
Tech Startup,Sans + Sans,Space Grotesk,DM Sans,modern innovative clean,tech companies startups SaaS,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,technical precise focused,developer tools code editors,https://fonts.google.com/share?selection.family=JetBrains+Mono|IBM+Plex+Sans
Bold & Modern,Display + Sans,Bebas Neue,Inter,bold strong impactful,agencies fitness sports brands,https://fonts.google.com/share?selection.family=Bebas+Neue|Inter
Warm Editorial,Serif + Serif,Lora,Merriweather,warm readable trustworthy,blogs news media publishing,https://fonts.google.com/share?selection.family=Lora|Merriweather
Minimal SaaS,Sans + Sans,Inter,Inter,clean neutral minimal,SaaS dashboards admin tools,https://fonts.google.com/share?selection.family=Inter
Friendly App,Rounded + Sans,Nunito,Nunito Sans,friendly approachable playful,consumer apps EdTech kids platforms,https://fonts.google.com/share?selection.family=Nunito|Nunito+Sans
Luxury Dark,Serif + Sans,Cormorant Garamond,Raleway,sophisticated premium dark,luxury brands high-end fashion jewelry,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Raleway
Medical Clean,Sans + Sans,Source Sans 3,Open Sans,clean clinical trustworthy,healthcare medical dental wellness,https://fonts.google.com/share?selection.family=Source+Sans+3|Open+Sans
Corporate Pro,Sans + Sans,Montserrat,Open Sans,professional corporate authoritative,consulting law finance B2B,https://fonts.google.com/share?selection.family=Montserrat|Open+Sans
Creative Agency,Display + Sans,Syne,Outfit,creative bold distinctive,agencies portfolios creative studios,https://fonts.google.com/share?selection.family=Syne|Outfit
Food & Warm,Serif + Sans,Libre Baskerville,Lato,warm inviting comfortable,restaurants food blogs cafes,https://fonts.google.com/share?selection.family=Libre+Baskerville|Lato
Finance Trust,Sans + Serif,Barlow,Merriweather,trustworthy stable professional,fintech banking investment platforms,https://fonts.google.com/share?selection.family=Barlow|Merriweather
Crypto Bold,Display + Sans,Rajdhani,Inter,futuristic tech bold,crypto DeFi blockchain gaming,https://fonts.google.com/share?selection.family=Rajdhani|Inter
Travel Adventure,Display + Sans,Josefin Sans,Lato,adventurous open aspirational,travel hospitality outdoor brands,https://fonts.google.com/share?selection.family=Josefin+Sans|Lato
Real Estate Premium,Serif + Sans,Cormorant,DM Sans,premium sophisticated spacious,real estate architecture interior design,https://fonts.google.com/share?selection.family=Cormorant|DM+Sans
Health Wellness,Rounded + Sans,Plus Jakarta Sans,Nunito Sans,welcoming healthy calming,wellness fitness nutrition mental health,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans|Nunito+Sans
Education Clear,Sans + Serif,Poppins,Lora,clear approachable structured,EdTech online learning academic,https://fonts.google.com/share?selection.family=Poppins|Lora
News Bold,Serif + Sans,Playfair Display,Source Sans 3,authoritative credible journalistic,news media magazines newspapers,https://fonts.google.com/share?selection.family=Playfair+Display|Source+Sans+3
Gaming Edge,Display + Sans,Orbitron,Exo 2,futuristic edgy intense,gaming esports tech entertainment,https://fonts.google.com/share?selection.family=Orbitron|Exo+2
Nonprofit Heart,Sans + Serif,Nunito,Merriweather,warm trustworthy humanist,nonprofits charities community organizations,https://fonts.google.com/share?selection.family=Nunito|Merriweather
Portfolio Clean,Sans + Serif,Work Sans,Lora,confident artistic refined,designers photographers creatives,https://fonts.google.com/share?selection.family=Work+Sans|Lora
