pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
Hero + Features + CTA,Hero → Social Proof → Features → Testimonials → Pricing → CTA,Above fold + repeated after testimonials,Primary for nav and hero CTA secondary for features,Fade-in on scroll hover lift on cards,Put a number stat in the hero (e.g. 10k users) reduces bounce rate
Problem + Solution,Hero → Problem → Solution → How It Works → Testimonials → CTA,After solution section and final CTA,Warning tone for problem section brand tone for solution,Problem section slight red tint solution section green tint,Name the pain explicitly users self-identify and scroll deeper
Before + After,Hook → Before State → After State → Proof → CTA,After the after state and at end,Muted colors for before vibrant brand colors for after,Transition animation between before and after states,Use real customer language in the before state not marketing copy
Feature-Led SaaS,Hero → Demo Video → Key Features → Integrations → Pricing → FAQ → CTA,Floating sticky CTA + end of page,Blue trust primary orange CTA,Auto-play muted demo video feature card hover lifts,Add a free trial CTA with no credit card required to reduce friction
Social Proof First,Hero → Logos → Results → Testimonials → Features → Pricing → CTA,After logos section and after pricing,Neutral professional tones let proof do the work,Logo carousel testimonial card slides,Lead with the biggest client logos first credibility front-loads
Product Demo Center,Hero → Interactive Demo → Features → Testimonials → CTA,Inside the demo CTA and at page end,Match product brand colors exactly,Embedded interactive prototype or screen recording,Let users try before they commit — demo-led pages convert 3x better
Pricing-Forward,Hero → Pricing → Features → FAQ → CTA,In hero and inside pricing cards,Clean neutral accent color for recommended plan,Highlight recommended plan with border glow,Put the mid-tier plan in the center with a Most Popular badge
Storytelling,Hook → Origin Story → Mission → Team → Impact → CTA,After mission and at end,Warm human tones photography-led,Scroll-triggered text reveals fade-in team photos,Nonprofits and founder-led brands convert better with authentic story
Waitlist/Coming Soon,Hero → Value Prop → Email Capture → Social Proof,Email form above the fold and below value prop,Single brand color minimal distraction,Animated countdown timer subtle background,Offer something in exchange for email early access discount beta access
Long-form Sales,Hook → Pain → Agitate → Solution → Proof → Offer → Guarantee → CTA,Multiple CTAs throughout every 2-3 sections,High trust colors avoid flashy gradients,Minimal effects clean readable focus on copy,Use the word you 3x more than we — speak to the reader not yourself
App Download,Hero → App Screenshots → Features → Reviews → Download,Top nav download button + hero + end,Match App Store branding platform colors,Phone mockup 3D tilt on scroll app UI preview,Show the actual app UI not marketing illustrations
Agency Portfolio,Hero → Work → Process → Team → Testimonials → Contact,In hero and after testimonials,Dark or bold brand color shows confidence,Cursor effects smooth page transitions project hover reveals,Lead with your best work first — visitors decide in 5 seconds
